firstname,Email,Subject,Body,Business,City,ST,Phone,Website,Campaign Rank,Priority Tier,Campaign Date,Mailbox,Prospect TZ,Rating,Reviews,Employees,Locations,Segment,Coverage gap,Body Words,Offer Made,Strategic Angle,Business Insight,MICRONS Capability,Research / Personalization Basis,Research Depth,QA Notes
,soma@cocoondayspa.com,the boutique,"Hey {{ firstname | there }},

I was looking at Cocoon — eighteen years, three locations, and a boutique at SoMa carrying SkinCeuticals and Eminence next to Free People. Most spas treat retail as an afterthought; you clearly don't.

There's an obvious next step I'd test: connecting what someone buys to when they come back.

Someone who leaves with a SkinCeuticals serum is on a predictable replenishment cycle, and so is their next facial. I'd tie those together — a prompt at the right interval that offers the refill and the appointment in the same message.

The goal isn't to push product — it's to use a purchase you already have on record as the reason to book the next visit.

I'll build it, monitor it, and keep working at no additional cost until it books 30 return appointments. Your team only needs to connect the client history once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 11 am or Friday at 9 am PT — just reply with either.

Vedant",Cocoon Day Spa San Francisco - Soma,San Francisco,CA,(415) 894-0782,https://cocoondayspa.com/soma/?utm_source=Local+Flow+Marketing_GBP&utm_medium=organic&utm_campaign=Cocoon-Soma-GBP,71,A,9/9/2026,1,PT,4.8,517,18,,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,176,Build + monitor free until 30 return appointments booked; connect client history once.,Retail-purchase-triggered rebooking,"Product replenishment cycles are a known, dated signal that predicts the next service visit.",Patient Reactivation triggered by purchase history + recurring-visit prompts,"Established 2007; 3 locations - SoMa (330 1st St), Noe Valley, Rockridge; boutique stocks SkinCeuticals, Eminence Organics, Cosabella, Free People; Endermologie, Hydrafacial, microblading",Verified - business detail,Retail detail verified from site. Hours unknown - no closure claimed.
,concierge@nakedmd.com,carlsbad first,"Hey {{ firstname | there }},

I was looking at NakedMD — a hundred thousand patients since 2022 across forty-plus locations is a serious operation, and the TOX membership is the part that makes the model work rather than just the volume.

There's an obvious next step I'd test, at one site before anywhere else: members whose next tox appointment has slipped.

Neurotoxin has a hard three-to-four month clock. I'd flag members who are past due with nothing booked and prompt them against their own last treatment date, booking straight into Carlsbad's calendar.

The goal isn't a rollout conversation — it's one location, running quietly, so you can see whether the numbers move before anyone else has to care.

I'll build it, monitor it, and keep working at no additional cost until it rebooks 40 members at Carlsbad. Your team only needs to connect that location's data once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10 am or Friday at 1 pm PT — just reply with either.

Vedant",NakedMD Med Spa Carlsbad,Carlsbad,CA,(760) 683-8360,https://www.nakedmd.com/pages/locations-carlsbad,72,A,9/9/2026,2,PT,4.9,508,150,40,Enterprise / chain,Sunday,175,Build + monitor free at Carlsbad until 40 members rebooked; connect one location's data once.,Single-site membership recall pilot inside a large chain,A neurotoxin membership depends on adherence to a tight recall window; lapses compound silently at scale.,"Patient Reactivation / recurring-treatment recall, pilot-scoped to one site","40+ locations across CA/AZ/NV/TX/TN; 100,000+ patients since 2022; Medical Director Steven Chao; TOX membership programme; expert nurse injectors",Verified - business detail,Micro-commitment scoped to one site per enterprise sales logic. Recall interval is a general clinical norm.
Tamie,info@whitepearlmedicalspa.com,two front desks,"Hey {{ firstname | there }},

I was looking at White Pearl — a licensed aesthetician since 2012 and laser certified since 2020, running nails and medical aesthetics under one roof with Dr. Conrardy as medical director.

There's an obvious next step I'd test: separating the two kinds of caller before they reach you.

Someone booking a pedicure and someone asking about microneedling need completely different conversations, and right now both land on the same line. I'd sort them at the point of contact — quick bookings go straight through, anything medical gets its questions collected and handed to you rather than answered.

The goal isn't to filter people out — it's to stop a nail appointment and a filler consult costing the same amount of your attention.

I'll build it, monitor it, and keep working at no additional cost until it books 30 appointments across both sides. You only need to approve the sorting rules once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 2 pm or Friday at 10 am CT — just reply with either.

Vedant",White Pearl Med-Spa & Nail Lounge,Chicago,IL,(847) 380-7157,https://whitepearlmedicalspa.com/,73,A,9/9/2026,3,CT,4.8,503,5,,Micro / owner-operated,Monday,184,Build + monitor free until 30 appointments booked across both service lines; approve sorting rules once.,Dual-service qualification with clinical escalation,Two service categories with very different value and risk profiles share one intake channel.,Lead Qualification + escalation of clinical questions to staff,"Owner Tamie Lai, licensed aesthetician since 2012, certified laser technician since 2020; Medical Director Dr. Philip G. Conrardy; nails + microneedling + injectables + PRF/PRP",Verified - owner/founder named,"NOTE: practice is in DES PLAINES, IL, not Chicago as the workbook states. Clinical escalation explicit."
,info@spasasse.com,since 1982,"Hey {{ firstname | there }},

I was looking at Spa Sassé — locally and woman-owned since 1982, five thousand square feet a block off Pioneer Square, with Vichy showers and Thalasso baths alongside CoolSculpting and RF microneedling. Forty-three years in downtown Portland is its own kind of proof.

There's an obvious next step I'd test: your spa packages.

Packages are the highest-value thing on your menu and the hardest to sell over the phone, because they need explaining. I'd have package inquiries answered as they arrive with the details your team has approved, then booked as pending for you to confirm.

The goal isn't to automate the experience you've spent four decades building — it's to make sure the enquiry about your best-margin service gets a same-hour reply.

I'll build it, monitor it, and keep working at no additional cost until it books 25 package appointments. Your team only needs to approve the package answers once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10 am or Friday at 1 pm PT — just reply with either.

Vedant",Spa SassÃ©,Portland,OR,(503) 228-8266,http://www.spasasse.com/,74,A,9/9/2026,4,PT,4.7,500,9,1,Small,HOURS NOT IN WORKBOOK - do not claim a closure,184,Build + monitor free until 25 package appointments booked; approve package answers once.,High-value package inquiry response,"Packages carry the best margin and the highest explanation burden, so they suffer most from delayed replies.",AI Receptionist / approved-FAQ handling + Booking over existing Vagaro scheduling,"Locally and woman-owned since 1982; 630 SW Alder St, 5,000+ sq ft, one block from Pioneer Square; Vichy shower, Thalasso hydro baths, CoolSculpting, RF microneedling; dedicated Spa Packages page; Vagaro booking",Verified - business detail,Hours not claimed. Longevity verified from site.
Nicole,inquiries@lovethenuyou.com,the pricing page,"Hey {{ firstname | there }},

I was looking at NuYou — publishing a full pricing page is rare in Miami aesthetics, and it changes who calls you. People arrive already knowing the number, which means the conversation starts at whether it's right for them rather than what it costs.

There's an obvious next step I'd test: how fast those people get an answer.

A pre-qualified inquiry in Miami is worth a lot and it goes to whoever replies first. I'd have every one answered within minutes, qualified for what they're considering, and booked as pending for you to confirm. Anything clinical is collected and passed to you.

The goal isn't to sell harder — it's to make sure the transparency you've already committed to converts before someone else calls them back.

I'll build it, monitor it, and keep working at no additional cost until it books 25 consultations. You only need to approve what it can say, once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 3 pm or Friday at 11 am ET — just reply with either.

Vedant",NuYou Medical Aesthetics,Miami,FL,(305) 204-0659,http://www.lovethenuyou.com/,75,A,9/9/2026,5,ET,5,497,,,,HOURS NOT IN WORKBOOK - do not claim a closure,186,Build + monitor free until 25 consultations booked; approve permitted answers once.,"Speed-to-response on pre-qualified, price-aware inquiries","Published pricing pre-qualifies inquiries, which raises the cost of a slow first reply.",Leads Concierge / immediate first response + qualification with clinical escalation,"Founder Nicole Habib, MMS, PA-C; 888 Biscayne Blvd; public pricing page; NAD+ Beauty Dose; Sculptra, Renuva, non-surgical rhinoplasty, PRP hair restoration",Verified - owner/founder named,Pricing page verified. Hours unknown - no closure claimed.
Gen,relax@botanicadayspa.com,the rose quartz,"Hey {{ firstname | there }},

I was looking at Botanica — twenty-five years in Clearwater, twelve licensed staff across skin, nails, massage and makeup, and a Rose Quartz Facial people specifically ask for by name. Having a signature treatment that travels by word of mouth is harder to build than the spa itself.

There's an obvious next step I'd test: what happens after someone has it.

Day-spa economics live on how often people come back, and the interval between visits is the number nobody watches. I'd flag anyone past their usual return window with nothing booked and send one prompt referencing the treatment they actually had.

The goal isn't to market at your clients — it's to make the second visit as automatic as the first one was memorable.

I'll build it, monitor it, and keep working at no additional cost until it brings 30 clients back onto the schedule. Your team only needs to hand over the visit history once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 11 am or Friday at 2 pm ET — just reply with either.

Vedant",Botanica Day Spa,Clearwater,FL,(727) 441-1711,http://www.botanicadayspa.com/,76,A,9/9/2026,1,ET,4.9,490,15,,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,189,Build + monitor free until 30 clients rebooked; hand over visit history once.,Visit-frequency retention around a signature service,"Day-spa margin is frequency-driven, making the inter-visit interval the key unwatched metric.",Patient Reactivation + recurring-visit prompts,Owner Gen (also practising esthetician); 25 years as Clearwater's leading day spa; 12 licensed staff; signature Rose Quartz Facial; 700 Court St; Meet the Staff page,Verified - owner/founder named,NOTE: verified as OPEN 7 DAYS (Sun 10-3) - no closure claimed. Workbook's 'hours unknown' respected and corrected.
Lauren,info@ellemesmedspa.com,provider-owned,"Hey {{ firstname | there }},

I was reading how you and Mark position ELLEMES — provider-owned, for people who care about long-term skin health rather than a one-off result. That's a deliberate filter, and it changes the kind of patient you want on the phone.

There's an obvious next step I'd test: making sure the long-term ones actually come back on schedule.

Skin health programmes only work in sequence, and a missed third appointment quietly undoes the first two. I'd flag anyone mid-course who hasn't rebooked and prompt them against where they are in their plan, booking into Fresha directly.

The goal isn't to chase people — it's to make sure the model you built the practice around holds up in the calendar.

I'll build it, monitor it, and keep working at no additional cost until it books 30 follow-up appointments. Your team only needs to hand over the schedule once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 2 pm or Friday at 10 am ET — just reply with either.

Vedant",ELLEMES Medical Spa,Atlanta,GA,(470) 222-6581,https://ellemesmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,77,A,9/9/2026,2,ET,4.9,444,4,,Micro / owner-operated,Sunday,179,Build + monitor free until 30 follow-up appointments booked; hand over schedule once.,Course-of-treatment adherence matched to stated positioning,"A long-term skin-health promise depends on sequence adherence, which decays without prompting.",Patient Reactivation / mid-course follow-up over existing Fresha booking,"Owner Lauren Siso, co-owner Mark Siso; established 2016; 'provider-owned... long-term skin health and natural-looking results'; 5505 Peachtree Dunwoody Rd; Fresha booking; RF microneedling, Plasma Pen, IPL",Verified - owner/founder named,Positioning language quoted from their own site. Hours not claimed.
Rosanna,info@medaestheticsmiami.com,three sets of hours,"Hey {{ firstname | there }},

I was looking at how Med Aesthetics is structured — Coral Gables, Aventura and Lauderdale-By-The-Sea each with their own appointment page, which is more organised than most three-site practices manage.

There's an obvious next step I'd test: the moment before someone picks a page.

Right now a new patient has to work out which of the three is nearest and which one does what before they can book. I'd put one intake path in front of all three that figures that out for them — location, service, availability — and books them at the right site in your existing system.

The goal isn't to centralise anything — it's to stop a patient having to do the routing themselves.

I'll build it, monitor it, and keep working at no additional cost until it routes and books 40 inquiries correctly. Your team only needs to confirm the rules once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 1 pm or Friday at 11 am ET — just reply with either.

Vedant",Med Aesthetics Miami,Miami,FL,(305) 356-7402,https://medaestheticsmiami.com/?utm_source=google&utm_medium=organic&utm_content=gables&utm_campaign=gmb,78,A,9/9/2026,3,ET,4.8,436,4,,Micro / owner-operated,HOURS NOT IN WORKBOOK - do not claim a closure,180,Build + monitor free until 40 inquiries routed and booked correctly; confirm rules once.,Multi-location routing ahead of per-site booking pages,Per-location booking pages push the routing decision onto the patient before they can convert.,Booking + routing layer over existing per-site scheduling,"Founder Rosanna Bermejo, MBA, RN, Aesthetician; 3 locations - Coral Gables (2020 Ponce de Leon), Aventura, Lauderdale-By-The-Sea; per-location appointment pages; clinical skincare focus",Verified - owner/founder named,NOTE: verified as OPEN 7 DAYS - no closure claimed anywhere in this email.
Erin,info@agelessmed.com,training the trainers,"Hey {{ firstname | there }},

I was looking at Ageless Medical — injecting since 2001 and now training other physicians and injectors is a level very few people in South Florida reach, and it sits behind a practice that's been running since 2006.

There's an obvious next step I'd test: protecting the hours you spend injecting.

When the most experienced person in the building is also the one people want on the phone, that time comes directly out of treatment. I'd have inquiries answered and qualified before they reach you, with anything clinical collected and routed to you rather than answered.

The goal isn't to put a wall between you and patients — it's to make sure the questions that actually need you are the only ones that reach you.

I'll build it, monitor it, and keep working at no additional cost until it books 25 consultations without your involvement. Your team only needs to approve the answers once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10.30 am or Friday at 2 pm ET — just reply with either.

Vedant",Ageless Medical,Plantation,FL,(954) 680-8330,https://www.agelessmed.com/?utm_medium=local&utm_source=gmb&utm_campaign=info,79,A,9/9/2026,4,ET,4.9,436,,,,Sunday,187,Build + monitor free until 25 consultations booked without practitioner involvement; approve answers once.,Protecting scarce senior clinical time from front-desk work,"When the senior injector is also the intake bottleneck, phone time trades directly against treatment revenue.",Lead Qualification + clinical escalation to the practitioner,"Erin Owoc, ARNP-C, cosmetic NP since 2001, trains other doctors and injectors; Dr. Shashi Kusuma, board-certified plastic surgeon, directs; established 2006",Verified - owner/founder named,"NOTE: practice address is COOPER CITY, FL (serving Plantation/Davie/Weston), not Plantation as the workbook states."
,info@aestheticamedspanj.com,bergen county,"Hey {{ firstname | there }},

I was looking at Aesthetica — Ridgewood, Wayne and Paramus, plus a men's side with hair restoration and TRT that most Bergen County med spas still don't offer.

There's an obvious next step I'd test: the men's programmes specifically.

TRT and hair restoration only work on a schedule, and they're the treatments patients are least likely to chase up themselves. I'd flag anyone overdue for their next visit and prompt them against where they are in their protocol, booking at whichever of the three sites they normally use.

The goal isn't to add a campaign — it's to make sure your longest-arc treatments don't depend on the patient remembering.

I'll build it, monitor it, and keep working at no additional cost until it books 30 follow-up appointments. Your team only needs to hand over the schedule once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 3 pm or Friday at 9.30 am ET — just reply with either.

Vedant",Aesthetica MedSpa,Ridgewood,NJ,(201) 482-1419,https://aestheticamedspanj.com/appointments/?rel=gmblisting,80,A,9/9/2026,5,ET,4.9,412,14,,Small,Sunday,170,Build + monitor free until 30 follow-up appointments booked; hand over schedule once.,Protocol adherence for men's longitudinal programmes,TRT and hair-restoration protocols are schedule-dependent and under-chased relative to aesthetics visits.,Patient Reactivation / recurring-treatment reminders with location routing,"Owners Ibrahim and Maneeha Mahmood, MBA; locations Ridgewood, Wayne, Paramus (Bergen County); men's services incl. hair restoration and TRT; CoolSculpting, PRP hair restoration",Verified - business detail,Hours not claimed. Men's service line verified from site.
,feedback@naturamedspaivbar.com,two clocks,"Hey {{ firstname | there }},

I was looking at Natura — running an IV bar and a med spa across Denver and Aurora means you're managing two completely different return rhythms. Drip clients are meant to come back on a cycle; injectable patients on a season.

There's an obvious next step I'd test: giving each of them its own follow-up.

One cadence can't serve both, so whichever one your team wasn't thinking about that week is the one that slips. I'd split them — overdue drip clients prompted on their cycle, aesthetics patients on theirs, each booking into Aesthetic Record at whichever location they use.

The goal isn't more messaging — it's the right interval for each service instead of one compromise interval for both.

I'll build it, monitor it, and keep working at no additional cost until it books 30 return visits across the two. Your team only needs to connect the booking data once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10 am or Friday at 1 pm MT — just reply with either.

Vedant",Natura Med Spa & IV Bar - Denver,Denver,CO,(720) 599-4126,https://naturamedspaivbar.com/,81,A,9/9/2026,1,MT,4.9,410,17,,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,184,Build + monitor free until 30 return visits booked across both service lines; connect booking data once.,Dual-cadence retention across two service models,Two service lines with different natural return intervals cannot share one follow-up rhythm.,Patient Reactivation with per-service cadence + multi-location routing,Two locations - Denver (357 S Colorado Blvd) and Aurora; Aesthetic Record online booking; IV therapy + injectables + lasers + body contouring + Tirzepatide,Verified - business detail,NOTE: verified as OPEN 7 DAYS (Sun 10-5) - no closure claimed.
Ronen,hello@pariemedspa.com,top morpheus8,"Hey {{ firstname | there }},

I was looking at Parie — top Morpheus8 provider in Las Vegas within about a year of opening is a fast start, and having memberships and Cherry financing live already says you're building for repeat rather than one-off.

There's an obvious next step I'd test: making the membership do the returning for you.

Morpheus8 is a series treatment, and the gap between sessions is where series quietly end. I'd flag anyone mid-course or with an unused membership benefit and prompt them at the right interval, booking directly into your scheduling.

The goal isn't to add marketing on top of a new business — it's to make sure the retention structure you've already paid to build actually fires.

I'll build it, monitor it, and keep working at no additional cost until it books 30 follow-up sessions. Your team only needs to connect the membership data once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10 am or Friday at 12 pm PT — just reply with either.

Vedant",Parie Med Spa,Las Vegas,NV,(702) 930-6221,https://pariemedspa.com/,82,A,9/9/2026,2,PT,4.9,408,,,,HOURS NOT IN WORKBOOK - do not claim a closure,178,Build + monitor free until 30 follow-up sessions booked; connect membership data once.,Series adherence and membership utilisation at a young practice,"Series treatments and memberships both leak between sessions, which is where a new practice can least afford it.",Patient Reactivation / mid-series prompts + membership follow-up,Owner Ronen Tregerman; incorporated June 2024; Summerlin (1725 Village Center Cir); 2025 Top Morpheus8 Provider in Las Vegas; memberships page; CareCredit and Cherry financing; WellnessLiving booking,Verified - owner/founder named,NOTE: verified as OPEN 7 DAYS 9-5 - no closure claimed. Award is their own published claim.
Rey,rey@beginanewmed.com,the factory,"Hey {{ firstname | there }},

I was reading how Begin Anew started — a career in sales and marketing, then an autoimmune diagnosis, then reversing it and building a practice around regenerative and functional medicine. Running The Factory alongside it makes the wellness side more than positioning.

There's an obvious next step I'd test: the Optimal Wellness Program specifically.

Functional and regenerative protocols are long, and they only work if people stay in sequence — which makes the drop-off between visits more costly than in a normal aesthetics practice. I'd flag anyone overdue for their next step and prompt them against where they are in their programme.

The goal isn't to chase clients — it's to make sure a model built on sequence doesn't depend on people remembering the sequence.

I'll build it, monitor it, and keep working at no additional cost until it books 30 follow-up visits. Your team only needs to hand over the programme schedule once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 11 am or Friday at 3 pm ET — just reply with either.

Vedant",Begin Anew - Aesthetics & Wellness,Jupiter,FL,(561) 781-3578,http://beginanewmed.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,83,A,9/9/2026,3,ET,4.9,403,,,,Sunday,187,Build + monitor free until 30 follow-up visits booked; hand over programme schedule once.,Sequence adherence in a functional/regenerative programme,Longitudinal wellness protocols fail on drop-off between steps rather than at enrolment.,Patient Reactivation / programme-step prompts,"Founder Sharon - prior career in sales and marketing (AT&T, Lucent), autoimmune diagnosis then recovery, founded around regenerative and functional medicine; also owns The Factory gym in downtown Palm Beach; Optimal Wellness Program page; nutrient IV infusions",Verified - owner/founder named,Founder story is her own published account. Greeting uses 'Rey' from the contact address; founder is Sharon - verify who reads this inbox.
,info@auraheadspanj.com,the academy,"Hey {{ firstname | there }},

I was looking at Aura — opening Ridgewood as your second location while also running an academy is unusual. Most head spas are still explaining what a Japanese head spa is; you're already training people to deliver one.

There's an obvious next step I'd test: the gap between a first visit and a second.

A hundred-and-twenty-five dollar Classic and a two-hundred dollar Signature are both built to be habits rather than one-offs, and the whole model rests on whether someone books again. I'd prompt every first-time guest at the right interval with the treatment they actually had, booking straight into your calendar.

The goal isn't to discount anyone back in — it's to ask at the moment the experience is still fresh, which is earlier than most spas think.

I'll build it, monitor it, and keep working at no additional cost until it books 30 second visits. Your team only needs to connect the booking data once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 2 pm or Friday at 10 am ET — just reply with either.

Vedant",Aura Head Spa | Ridgewood,Ridgewood,NJ,(201) 366-6464,http://www.auraheadspanj.com/,84,A,9/9/2026,4,ET,4.9,398,,,,HOURS NOT IN WORKBOOK - do not claim a closure,190,Build + monitor free until 30 second visits booked; connect booking data once.,First-to-second visit conversion in a habit-formation service,"A habit-based service is decided at the second booking, and that window closes fast.",Patient Reactivation / second-visit prompts,"Japanese head spa; two locations - Montclair and Ridgewood (Ridgewood opened as second site); runs an academy; Classic Head Spa $125, Aura Signature Head Spa $200; blog content on Japanese head spa",Verified - business detail,Menu and pricing verified from site. Hours not claimed.
Kendra,info@themodernaesthetic.co,the snatchural effect,"Hey {{ firstname | there }},

I was looking at the SNATCHural Effect — building a named protocol that sequences filler, Sculptra, relaxers, lasers and skincare into one plan is a genuinely different thing from selling treatments one at a time.

There's an obvious next step I'd test: keeping people in the plan.

The moment a protocol has five steps, the revenue depends on someone completing all five, and the drop-off is almost never at step one. I'd track where each patient is in their plan, flag anyone who hasn't booked their next step in the expected window, and prompt them with what's actually next for them.

The goal isn't to add follow-up admin — it's to make sure a plan you designed as a sequence gets completed as one.

I'll build it, monitor it, and keep working at no additional cost until it books 30 next-step appointments. Your team only needs to hand over the treatment plans once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 1 pm or Friday at 11 am ET — just reply with either.

Vedant",The Modern Aesthetic,Charlotte,NC,(704) 291-1568,http://www.themodernaesthetic.co/,85,A,9/9/2026,5,ET,4.9,393,,,,Sunday,186,Build + monitor free until 30 next-step appointments booked; hand over treatment plans once.,Multi-step protocol completion,"A sequenced signature protocol concentrates revenue risk in the middle steps, not the sale.",Patient Reactivation / treatment-plan step tracking and prompts,"Kendra Lopez, known as Charlotte's 'Injection Queen'; signature SNATCHural Effect protocol combining fillers, Sculptra, relaxers, lasers, HydraFacials and skincare; before/after page; Ballantyne; hours M-Sat 9:30-6, closed Sunday (verified)",Verified - owner/founder named,Protocol named and verified from their own site. Closure independently confirmed.
,info@aestheticenvy.com,"four sites, one team page","Hey {{ firstname | there }},

I was looking at Aesthetic Envy — Sacramento, Folsom, Fair Oaks and Roseville, with hormone therapy and PRP running alongside the injectable and weight-loss side. Eight years to four locations with that range is a lot of moving parts.

There's an obvious next step I'd test: the hormone and weight-loss patients.

Those are the treatments with the longest arcs and the most scheduled follow-ups, which makes them the easiest to drift out of and the most expensive to lose. I'd flag anyone overdue with nothing booked and prompt them against their own programme, at whichever of the four sites they use.

The goal isn't to add another reminder email — it's to make the follow-up specific enough that someone actually rebooks.

I'll build it, monitor it, and keep working at no additional cost until it books 30 follow-up appointments across the four. Your team only needs to connect the schedule once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 11 am or Friday at 9 am PT — just reply with either.

Vedant",Aesthetic Envy,Sacramento,CA,(916) 333-4906,https://www.aestheticenvy.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb-Sacramento,86,A,9/9/2026,1,PT,4.9,365,,,,HOURS NOT IN WORKBOOK - do not claim a closure,184,Build + monitor free until 30 follow-up appointments booked across four sites; connect schedule once.,Longitudinal programme retention across multiple locations,Hormone and weight-loss programmes have the longest arcs and therefore the most drift points.,Patient Reactivation / recurring-treatment reminders with location routing,"8+ years; four locations - Sacramento (1321 Howe Ave), Folsom, Fair Oaks, Roseville; Semaglutide and Tirzepatide, HRT, PRP for skin and hair, joint pain; Our Team and Locations pages",Verified - business detail,Hours not claimed - workbook flagged unknown and research did not confirm.
,frontdeskca001@restore.com,credits that travel,"Hey {{ firstname | there }},

I was looking at how the Restore membership works — core therapy and IV credits usable at any studio in the country, two guest passes a month, thirty per cent off specialty services. For a recovery model that's a smart structure, because consistency is the entire product.

There's an obvious next step I'd test: members whose credits are stacking up unused.

The three-month commitment means someone can drift for a full month before anyone notices, and unused credits are the clearest early signal of a cancellation coming. I'd flag those members and send one message telling them what's sitting there and offering the next available slot.

The goal isn't to add retention marketing — it's to catch the drift while the membership is still active rather than at the cancellation notice.

I'll build it, monitor it, and keep working at no additional cost until it brings 30 members back in. Your team only needs to connect the membership data once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 1 pm or Friday at 10 am CT — just reply with either.

Vedant",Restore Hyper Wellness,Minneapolis,MN,(949) 312-2626,https://www.restore.com/locations/ca-laguna-niguel-ca001?utm_source=gmb&utm_medium=Yext&y_source=1_MzE2Mjk4MjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,87,A,9/9/2026,2,CT,4.9,364,,,,HOURS NOT IN WORKBOOK - do not claim a closure,193,Build + monitor free until 30 members return; connect membership data once.,Unused-credit signal as a churn early warning,Credit accumulation is an observable leading indicator of membership cancellation.,Patient Reactivation + membership follow-up,"Membership-first model: core therapy and IV drip credits usable at any location nationwide, 2 guest passes monthly, 30% off specialty services, 3-month commitment, 30-day cancellation notice; cryotherapy, IV, infrared sauna, red light, compression","Verified - DATA ISSUE, see QA Notes","VERIFY BEFORE SEND: workbook lists Minneapolis MN but the email address and website both point to a Laguna Niguel, CA studio. Confirm the correct contact and timezone before sending."
,info@tribecamedspa.com,tribeca and flatiron,"Hey {{ firstname | there }},

I was looking at Tribeca MedSpa — nearly twenty years, a board-certified plastic surgeon behind the clinical side, and a published price list, which almost nobody in Manhattan is willing to do.

There's an obvious next step I'd test: the fact that some services only run at one of your two sites.

That's an easy thing for a patient to get wrong, and getting it wrong means either a wasted trip or a booking that never happens. I'd have inquiries qualified for what they want first, then routed to the location that actually offers it and booked there.

The goal isn't to change how you're set up — it's to make sure the split between Tribeca and Flatiron never becomes the patient's problem to solve.

I'll build it, monitor it, and keep working at no additional cost until it routes and books 40 inquiries to the right location. Your team only needs to confirm which services live where, once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 4 pm or Friday at 10 am ET — just reply with either.

Vedant",Tribeca Medspa,New York,NY,(646) 687-9711,https://www.tribecamedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Tribeca-Medspa&utm_content=website,88,A,9/9/2026,3,ET,4.7,339,,,,HOURS NOT IN WORKBOOK - do not claim a closure,192,Build + monitor free until 40 inquiries routed and booked to the correct site; confirm service-location map once.,Service-level routing between two sites with differing menus,"When services differ by location, routing errors cost either a wasted visit or a lost booking.",Lead Qualification + Booking with service-aware location routing,"Established 2006; led by board-certified plastic surgeon Dr. Gerald D. Ginsberg with award-winning PAs; two locations, Tribeca (114 Hudson St) and Flatiron, with some services unique to each; public pricing page; monthly payment plans",Verified - business detail,Service-split detail verified from site. Hours not claimed.
Romy,info@alluringimagemedspa.com,chief esthetician,"Hey {{ firstname | there }},

I was looking at Alluring Image — being the owner and the chief esthetician at the same time is the position where every hour on admin is an hour off the treatment floor, and a boutique in downtown Delray doesn't have anyone else to absorb it.

There's an obvious next step I'd test: the Sunday and after-hours inquiries.

You're closed Sundays and shut at five most days, which is when a lot of Delray decides to book something. I'd have those answered as they arrive, qualified for what they want, and booked into Monday as pending for you to confirm.

The goal isn't to put someone between you and your clients — it's to stop you being the front desk on your own time.

I'll build it, monitor it, and keep working at no additional cost until it books 25 appointments from hours you're closed. You only need to approve what it's allowed to answer, once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10 am or Friday at 2 pm ET — just reply with either.

Vedant",Alluring Image Medspa and Wellness,Delray Beach,FL,(561) 567-9056,https://alluringimagemedspa.com/,89,A,9/9/2026,4,ET,4.9,338,,,,Sunday,189,Build + monitor free until 25 appointments booked from closed hours; approve permitted answers once.,Owner-operator opportunity cost plus closed-hours capture,An owner who also treats has no spare capacity to absorb after-hours intake.,AI Receptionist / after-hours and closed-day capture,"Owner Romy M., who is also chief esthetician; boutique positioning, 90 SE 4th Ave, downtown Delray; CareCredit; hours M-F 10-5, Sat 11-4, closed Sunday (verified)",Verified - owner/founder named,Closure and hours independently verified.
