Campaign Rank,Priority Tier,Campaign Date,Mailbox,Prospect TZ,Business,City,ST,Email,Phone,Website,Rating,Reviews,Employees,Locations,Segment,Coverage gap,Sender Name,Sender Phone,Subject,Body,Body Words,Followup Subject,Followup Body,Offer Made,Strategic Angle,Business Insight,MICRONS Capability,Personalization Basis,Principles Score /7,QA Notes
73,A,9/9/2026,3,CT,White Pearl Med-Spa & Nail Lounge,Chicago,IL,info@whitepearlmedicalspa.com,(847) 380-7157,https://whitepearlmedicalspa.com/,4.8,503,5,,Micro / owner-operated,Monday,Vedant,+1-XXX-XXX-XXXX,"two businesses, one phone","Hey {{ firstname | there }},

A med-spa and a nail lounge share your number, and those are two completely different callers — one wants a price and a Saturday slot, the other needs a consult and has questions nobody at a front desk should be answering off the cuff.

I work on intake and qualification for aesthetics practices; most recently a multi-location derm and laser group.

I'd separate them at the point of the call: quick bookings go straight into the calendar, medical questions get collected and handed to a person rather than answered. Plus Monday, which you're closed. 30 days free — 10 booked consults or no invoice.

15 minutes Thursday 2pm or Friday 10am CT? {{ Sender Phone }}.

Vedant",123,the split,"Hey {{ firstname | there }}, quick nudge. The two-caller split is the piece I'd build first. Free for 30 days. Thursday?

Vedant",Free 30-day pilot; 10 booked consults or no payment.,Dual-service qualification and clinical escalation,Two service categories on one line means routing and clinical escalation matter more than raw answering.,Lead Qualification + escalation of clinical questions to staff,4.8 / 503 reviews; 5 staff; closed Monday; med-spa + nail lounge trade name,7,Explicitly keeps clinical questions with humans — required for medical safety positioning.
74,A,9/9/2026,4,PT,Spa SassÃ©,Portland,OR,info@spasasse.com,(503) 228-8266,http://www.spasasse.com/,4.7,500,9,1,Small,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,moving a 4.7,"Hey {{ firstname | there }},

4.7 across 500 reviews is a stubborn number. At that volume you cannot argue your way up — the average only moves if new reviews arrive faster than they currently do, and most practices ask inconsistently or not at all.

I work on the reputation and follow-up side for aesthetics practices; most recently a multi-location derm and laser group.

I'd have requests firing on an actual completed appointment rather than a monthly blast, replies drafted for a human to approve, nothing auto-posting. Live in 14 days, and I keep working free until you've added 50 new reviews.

I run two of these at a time. 15 minutes Thursday 10am or Friday 1pm PT? {{ Sender Phone }}.

Vedant",124,portland,"Hey {{ firstname | there }}, one follow-up. Free until 50 new reviews land — the risk is entirely mine. Thursday or Friday?

Vedant",Live in 14 days; work free until 50 new reviews added.,Review velocity to move a plateaued average,At 500 reviews the mean is inertia-bound; only new volume shifts it.,"Reviews & Reputation (event-triggered, human-approved)",4.7 / 500 reviews; 9 staff; 1 location; Portland OR,7,Arithmetic point about averages is sound. No claim that they currently have a reputation problem.
75,A,9/9/2026,5,ET,NuYou Medical Aesthetics,Miami,FL,inquiries@lovethenuyou.com,(305) 204-0659,http://www.lovethenuyou.com/,5,497,,,,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,miami math,"Hey {{ firstname | there }},

5.0 across 497 in Miami, which is the hardest market in the country to hold a perfect rating in. That rating is your entire competitive advantage — and it only pays when an inquiry actually reaches you rather than the practice three blocks away that answered first.

I do intake and response speed for aesthetics practices; most recently a multi-location derm and laser group.

I'd make sure every inquiry gets a real reply within minutes, qualified, booked as pending. Live in 14 days, and I guarantee 20 booked consults in the first 60 or I keep working unpaid until you have them.

15 minutes Thursday 3pm or Friday 11am ET? Or {{ Sender Phone }}.

Vedant",122,the 5.0,"Hey {{ firstname | there }}, checking in. In Miami the first reply usually wins — that's the whole thing I'd fix. Thursday?

Vedant",Live in 14 days; 20 booked consults in 60 days or work continues unpaid.,Speed of first response in a saturated market,A perfect rating only converts if the practice is the one that responds first in a dense market.,Leads Concierge / immediate first response + qualification,5.0 / 497 reviews; Miami FL,7,"Hours not in workbook — no closure claimed. Market density is a public characteristic, not an invented pain point."
76,A,9/9/2026,1,ET,Botanica Day Spa,Clearwater,FL,relax@botanicadayspa.com,(727) 441-1711,http://www.botanicadayspa.com/,4.9,490,15,,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,rebooking,"Hey {{ firstname | there }},

Day spa economics are different from injectables — your ticket is smaller and the whole thing rests on how often somebody comes back. Which makes the interval between visits the number that actually matters, and almost nobody watches it.

I work on retention and follow-up for spa and aesthetics practices; most recently a multi-location derm and laser group.

I'd start by finding everyone past their normal return window with nothing booked and giving them one reason to come back that references what they actually had. Free pass in the first 30 days — 15 booked appointments or no invoice.

I take two of these at a time. 15 minutes Thursday 11am or Friday 2pm ET? {{ Sender Phone }}.

Vedant",126,return interval,"Hey {{ firstname | there }}, quick nudge. The first reactivation pass is free and uses your own records. Thursday or Friday?

Vedant",Free reactivation pass in 30 days; 15 booked appointments or no payment.,Visit-frequency retention over acquisition,"A day-spa model's margin comes from repeat frequency, so lapsed intervals are the biggest single leak.",Patient Reactivation + recurring-visit reminders,4.9 / 490 reviews; 15 staff; day spa model; Clearwater FL,7,Hours not in workbook — no closure claimed. No churn figure asserted.
77,A,9/9/2026,2,ET,ELLEMES Medical Spa,Atlanta,GA,info@ellemesmedspa.com,(470) 222-6581,https://ellemesmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,4.9,444,4,,Micro / owner-operated,Sunday,Vedant,+1-XXX-XXX-XXXX,"sunday, atlanta","Hey {{ firstname | there }},

Four people and closed Sundays. In Atlanta that's the day someone with a real budget and a Monday-morning-back-at-work deadline decides to book something before their skin has to be seen.

I do intake for aesthetics practices; most recently a multi-location derm and laser group.

I'd cover Sunday and the hours the four of you are in rooms: answer, work out which treatment they're asking about, book as pending for you to confirm. 30 days at my cost. If it hasn't put 10 booked consults on your calendar, you owe me nothing.

15 minutes Thursday 2pm or Friday 10am ET? Or {{ Sender Phone }}.

Vedant",111,atlanta,"Hey {{ firstname | there }}, one follow-up. Free for the first month, then you decide. Thursday works here.

Vedant",Free 30-day pilot; 10 booked consults or no payment.,Closed-day + micro-team coverage,"Four staff cannot cover Sunday or in-treatment hours, which is when consumer aesthetics inquiries peak.",AI Receptionist / closed-day + overflow capture,4.9 / 444 reviews; 4 staff; closed Sunday; Atlanta GA,7,No inquiry-volume claim.
78,A,9/9/2026,3,ET,Med Aesthetics Miami,Miami,FL,info@medaestheticsmiami.com,(305) 356-7402,https://medaestheticsmiami.com/?utm_source=google&utm_medium=organic&utm_content=gables&utm_campaign=gmb,4.8,436,4,,Micro / owner-operated,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,who calls back first,"Hey {{ firstname | there }},

Four staff, 436 reviews, and Miami — where a prospect is emailing you and four other practices in the same ten minutes. The one who replies first usually gets the consult, almost regardless of who's better.

I work on first-response speed and qualification for aesthetics practices; most recently a multi-location derm and laser group.

I'd make sure nothing waits: every inquiry answered immediately, qualified, and booked as pending into your calendar rather than sitting until someone's between patients. First 30 days on me — 10 booked consults or you don't pay.

I only run two at a time. 15 minutes Thursday 1pm or Friday 11am ET? {{ Sender Phone }}.

Vedant",117,miami,"Hey {{ firstname | there }}, quick ping. Speed of reply is the cheapest edge in your market. Free month. Thursday?

Vedant",Free 30-day pilot; 10 booked consults or no payment.,Speed-to-first-response in a dense market,"With 4 staff in a saturated market, response latency decides consults more than quality does.",Leads Concierge / immediate response + qualification,4.8 / 436 reviews; 4 staff; Miami FL,7,"Hours not in workbook — no closure claimed. Multi-practice shopping is a market characteristic, not a claim about them."
79,A,9/9/2026,4,ET,Ageless Medical,Plantation,FL,info@agelessmed.com,(954) 680-8330,https://www.agelessmed.com/?utm_medium=local&utm_source=gmb&utm_campaign=info,4.9,436,,,,Sunday,Vedant,+1-XXX-XXX-XXXX,monday's consult slots,"Hey {{ firstname | there }},

Closed Sundays, and you're a medical aesthetics practice — which means most of what people ask about on Sunday needs a consult before it needs a price. Those inquiries arrive unqualified and sit until Monday, and Monday's consult slots get filled by whoever called during business hours instead.

I work the intake and qualification side for medical aesthetics; most recently a multi-location derm and laser group.

I'd qualify Sunday's inquiries as they arrive so Monday starts with a booked, sorted list rather than a voicemail queue. Live in 14 days, and I guarantee 20 booked consults in the first 60 or I work unpaid until you have them.

15 minutes Thursday 10:30am or Friday 2pm ET? {{ Sender Phone }}.

Vedant",127,monday queue,"Hey {{ firstname | there }}, checking in once. The Sunday-to-Monday handoff is the specific fix. Guarantee stands. Thursday?

Vedant",Live in 14 days; 20 booked consults in 60 days or work continues unpaid.,Closed-day qualification protecting scarce consult capacity,Consult slots are the scarce resource; unqualified Sunday inquiries lose the race for them.,Lead Qualification + Booking into existing consult calendar,4.9 / 436 reviews; closed Sunday; Plantation FL; medical aesthetics positioning,7,Distinct from lead 64 (also Plantation) — different angle and offer to avoid same-market duplication.
80,A,9/9/2026,5,ET,Aesthetica MedSpa,Ridgewood,NJ,info@aestheticamedspanj.com,(201) 482-1419,https://aestheticamedspanj.com/appointments/?rel=gmblisting,4.9,412,14,,Small,Sunday,Vedant,+1-XXX-XXX-XXXX,ridgewood sundays,"Hey {{ firstname | there }},

Fourteen people and closed Sundays. Ridgewood is a commuter town, so a decent share of your market is in Manhattan Monday to Friday and does its actual deciding on the weekend — half of which you're open for.

I do intake for aesthetics practices; most recently a multi-location derm and laser group.

I'd cover Sunday and after-hours: answer, qualify, book into your existing calendar as pending. Live in 14 days, and I guarantee 20 booked appointments in the first 60 or I keep working unpaid until you have them.

I take two of these on at a time. 15 minutes Thursday 3pm or Friday 9:30am ET? {{ Sender Phone }}.

Vedant",117,ridgewood,"Hey {{ firstname | there }}, one nudge. Commuter market, weekend deciders — that's the gap. Thursday or Friday?

Vedant",Live in 14 days; 20 booked appointments in 60 days or work continues unpaid.,Closed-day capture in a commuter market,"A commuter catchment shifts decision-making to weekends, only one of which is covered.",AI Receptionist / closed-day + after-hours capture,4.9 / 412 reviews; 14 staff; closed Sunday; Ridgewood NJ,7,"Commuter characterisation of Ridgewood is a market observation, not a claim about their patients."
81,A,9/9/2026,1,MT,Natura Med Spa & IV Bar - Denver,Denver,CO,feedback@naturamedspaivbar.com,(720) 599-4126,https://naturamedspaivbar.com/,4.9,410,17,,Core (best fit),HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,two cadences,"Hey {{ firstname | there }},

A med spa and an IV bar under one roof run on two completely different clocks — IV clients are supposed to come back on a cycle, aesthetics clients on a season. Managing both from one follow-up habit means one of them always slips.

I work on retention and follow-up for aesthetics practices; most recently a multi-location derm and laser group.

I'd separate the two: overdue IV clients get one cadence, aesthetics patients another, each referencing what they actually had. First pass free in 30 days — 15 booked appointments or no invoice.

15 minutes Thursday 10am or Friday 1pm MT? Or {{ Sender Phone }}.

Vedant",113,the two clocks,"Hey {{ firstname | there }}, following up once. Splitting the two follow-up clocks is the whole idea. Free first pass. Thursday?

Vedant",Free reactivation pass in 30 days; 15 booked appointments or no payment.,Dual-cadence retention (recurring vs seasonal),Two service lines with different natural return intervals cannot share one follow-up rhythm.,Patient Reactivation with per-service cadence,4.9 / 410 reviews; 17 staff; med spa + IV bar; Denver CO,7,Hours not in workbook — no closure claimed.
82,A,9/9/2026,2,PT,Parie Med Spa,Las Vegas,NV,hello@pariemedspa.com,(702) 930-6221,https://pariemedspa.com/,4.9,408,,,,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,vegas timing,"Hey {{ firstname | there }},

Vegas splits your inquiries into two kinds: locals, who can book whenever, and visitors, who have a hard deadline and will book whoever answers while they're still deciding. The second kind doesn't wait for a callback.

I work on response speed and intake for aesthetics practices; most recently a multi-location derm and laser group.

I'd answer both immediately and treat them differently — visitors get slotted against their dates, locals get qualified and booked normally. 30 days at my cost. If it hasn't produced 10 booked appointments, you don't pay me.

I run two of these at once. 15 minutes Thursday 10am or Friday 12pm PT? {{ Sender Phone }}.

Vedant",117,visitors,"Hey {{ firstname | there }}, quick check-in. The visitor-versus-local split is the piece worth 15 minutes. Free month. Thursday?

Vedant",Free 30-day pilot; 10 booked appointments or no payment.,Visitor-vs-local qualification and date-bound booking,A visitor market creates time-boxed inquiries that a callback-based process structurally loses.,Lead Qualification + Booking with date constraints,4.9 / 408 reviews; Las Vegas NV,7,Hours not in workbook — no closure claimed. Visitor dynamic is a market fact.
83,A,9/9/2026,3,ET,Begin Anew - Aesthetics & Wellness,Jupiter,FL,rey@beginanewmed.com,(561) 781-3578,http://beginanewmed.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,4.9,403,,,,Sunday,Vedant,+1-XXX-XXX-XXXX,"sunday, jupiter","Hey {{ firstname | there }},

Closed Sundays in a town where a lot of your market keeps its own weekday hours — so the inquiry lands on the one day nobody's there and then competes with Monday's own traffic for attention.

I work the intake side for aesthetics practices; most recently a multi-location derm and laser group.

I'd cover Sunday: answer, qualify what they're after, book as pending so Monday opens with confirmed appointments rather than a backlog. First 30 days free — 10 booked consults or no invoice.

Worth 15 minutes? Thursday 11am or Friday 3pm ET, or {{ Sender Phone }}.

Vedant",105,jupiter,"Hey {{ firstname | there }}, one ping in case this got buried. Free for 30 days. Thursday or Friday both work here.

Vedant",Free 30-day pilot; 10 booked consults or no payment.,Closed-day (Sunday) capture,"Sunday inquiries compete with Monday's live traffic for the same staff attention, so they lose twice.",AI Receptionist / closed-day capture,4.9 / 403 reviews; closed Sunday; Jupiter FL,7,No volume claims. Team size blank in workbook — not referenced.
84,A,9/9/2026,4,ET,Aura Head Spa | Ridgewood,Ridgewood,NJ,info@auraheadspanj.com,(201) 366-6464,http://www.auraheadspanj.com/,4.9,398,,,,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,head spa rebooking,"Hey {{ firstname | there }},

Head spa is one of the few services where the whole model assumes people come back on a rhythm — it's not a one-off procedure, it's a habit you're trying to build. So the number that decides the business is what share of first-timers book a second visit.

I work on retention and follow-up for spa and aesthetics practices; most recently a multi-location derm and laser group.

I'd handle the second-visit push specifically: everyone who came once and hasn't rebooked gets a real prompt at the right interval, not a monthly newsletter. Free first pass in 30 days — 15 booked appointments or no invoice.

15 minutes Thursday 2pm or Friday 10am ET? {{ Sender Phone }}.

Vedant",124,second visits,"Hey {{ firstname | there }}, quick follow-up on the second-visit piece. Free first pass. Thursday works on my end.

Vedant",Free reactivation pass in 30 days; 15 booked appointments or no payment.,Second-visit conversion in a habit-formation service,"A habit-based service lives on first-to-second visit conversion, which decays fast without prompting.",Patient Reactivation / recurring-visit prompts,4.9 / 398 reviews; head spa model; Ridgewood NJ,7,"Hours not in workbook — no closure claimed. Distinct angle from lead 80, same town."
85,A,9/9/2026,5,ET,The Modern Aesthetic,Charlotte,NC,info@themodernaesthetic.co,(704) 291-1568,http://www.themodernaesthetic.co/,4.9,393,,,,Sunday,Vedant,+1-XXX-XXX-XXXX,charlotte sundays,"Hey {{ firstname | there }},

Closed Sundays, and Charlotte's aesthetics market has got a lot more crowded in the last couple of years — which means an unanswered Sunday inquiry isn't waiting for you on Monday, it's already booked somewhere else.

I do intake for aesthetics practices; most recently a multi-location derm and laser group.

I'd put a line on Sunday that answers, qualifies the treatment interest, and books as pending for your team to confirm. 30 days on my cost. If it hasn't put 10 booked consults on the calendar, you owe me nothing.

I take two on at a time. 15 minutes Thursday 1pm or Friday 11am ET? {{ Sender Phone }}.

Vedant",116,charlotte,"Hey {{ firstname | there }}, one nudge. Free for the first month — you'd only pay if it books. Thursday?

Vedant",Free 30-day pilot; 10 booked consults or no payment.,Closed-day capture in a competitive growth market,Market density means unanswered inquiries convert elsewhere rather than returning.,AI Receptionist / closed-day capture,4.9 / 393 reviews; closed Sunday; Charlotte NC,7,Market-growth statement is general and public; no specific competitor or figure claimed.
86,A,9/9/2026,1,PT,Aesthetic Envy,Sacramento,CA,info@aestheticenvy.com,(916) 333-4906,https://www.aestheticenvy.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb-Sacramento,4.9,365,,,,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,the 3-month mark,"Hey {{ firstname | there }},

Injectables have a built-in clock — people are due back roughly every three to four months whether anyone reminds them or not. The practices that grow aren't the ones getting more new patients, they're the ones where fewer people quietly miss their window.

I work on retention and recall for aesthetics practices; most recently a multi-location derm and laser group.

I'd find everyone past their window with nothing booked and prompt them against what they actually had done and when. First pass free inside 30 days — 15 booked appointments or no invoice.

I run two of these at a time. 15 minutes Thursday 11am or Friday 9am PT? {{ Sender Phone }}.

Vedant",120,the window,"Hey {{ firstname | there }}, quick ping on the recall idea. First pass is free and runs off your own history. Thursday or Friday?

Vedant",Free reactivation pass in 30 days; 15 booked appointments or no payment.,Injectables recall-window retention,An injectables model has a natural 3-4 month recall cycle; missed windows compound silently.,Patient Reactivation + recurring-treatment reminders,4.9 / 365 reviews; injectables-led positioning; Sacramento CA,7,"Hours not in workbook — no closure claimed. Recall interval is a general clinical norm, not a claim about their patients."
87,A,9/9/2026,2,CT,Restore Hyper Wellness,Minneapolis,MN,frontdeskca001@restore.com,(949) 312-2626,https://www.restore.com/locations/ca-laguna-niguel-ca001?utm_source=gmb&utm_medium=Yext&y_source=1_MzE2Mjk4MjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.9,364,,,,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,the second visit,"Hey {{ firstname | there }},

A membership-and-recurring-services model has one number underneath it: whether people keep showing up after the novelty of month one. Acquisition gets all the attention and retention quietly decides the P&L.

I work on retention and follow-up for wellness and aesthetics practices; most recently a multi-location derm and laser group.

I'd focus on the people who joined and stopped coming — find them, prompt them against what they'd actually been using, get them back on the schedule. Free first pass in 30 days. If it doesn't produce 15 booked appointments, no invoice.

15 minutes Thursday 1pm or Friday 10am CT? Or {{ Sender Phone }}.

Vedant",111,month two,"Hey {{ firstname | there }}, one follow-up. Free first pass over the lapsed list. Thursday works here if it does for you.

Vedant",Free reactivation pass in 30 days; 15 booked appointments or no payment.,Membership retention / lapsed-member recovery,"Recurring-membership models are retention-determined, so lapsed members are the highest-value list.",Patient Reactivation + membership follow-up,4.9 / 364 reviews; membership/recurring wellness model; Minneapolis MN,6,VERIFY BEFORE SEND: workbook city is Minneapolis MN but the listed email and website point to a California location. Confirm the contact before sending. Scarcity line omitted here.
88,A,9/9/2026,3,ET,Tribeca Medspa,New York,NY,info@tribecamedspa.com,(646) 687-9711,https://www.tribecamedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Tribeca-Medspa&utm_content=website,4.7,339,,,,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,4.7 in manhattan,"Hey {{ firstname | there }},

4.7 in a city where every competitor within ten blocks is sitting at 4.9. That gap is small on paper and enormous in practice, because it's the only thing a stranger comparing three Tribeca med spas can actually see.

I work on the reputation and follow-up side for aesthetics practices; most recently a multi-location derm and laser group.

I'd fix the asking, not the arguing: requests firing on a completed appointment rather than a blast, replies drafted for a human to approve, nothing posting on its own. Live in 14 days and I keep working free until you've added 50 new reviews.

15 minutes Thursday 4pm or Friday 10am ET? {{ Sender Phone }}.

Vedant",121,tribeca,"Hey {{ firstname | there }}, quick nudge. Free until the 50 reviews land — the risk sits with me. Thursday?

Vedant",Live in 14 days; work free until 50 new reviews added.,Review velocity to close a competitive rating gap,In a dense market a 0.2 rating gap is the primary visible differentiator to a first-time comparison shopper.,"Reviews & Reputation (event-triggered, human-approved)","4.7 / 339 reviews; Tribeca, New York NY",7,Competitor rating comparison is stated as a general market observation. No claim they have a service problem.
89,A,9/9/2026,4,ET,Alluring Image Medspa and Wellness,Delray Beach,FL,info@alluringimagemedspa.com,(561) 567-9056,https://alluringimagemedspa.com/,4.9,338,,,,Sunday,Vedant,+1-XXX-XXX-XXXX,season swings,"Hey {{ firstname | there }},

Delray's demand doesn't sit still — the season arrives and inquiry volume changes shape, then it leaves again. Staffing can't flex that fast, so coverage is either too thin in February or too expensive in August.

I do intake for aesthetics practices; most recently a multi-location derm and laser group.

I'd give you coverage that doesn't care what month it is: every inquiry answered and qualified, booked as pending, Sundays included since you're closed. 30 days at my cost. If it hasn't produced 10 booked consults, no invoice.

15 minutes Thursday 10am or Friday 2pm ET? Or {{ Sender Phone }}.

Vedant",108,delray season,"Hey {{ firstname | there }}, following up once. Coverage that doesn't need seasonal hiring — that's the idea. Free month. Thursday?

Vedant",Free 30-day pilot; 10 booked consults or no payment.,Seasonal demand variance vs fixed staffing,A seasonal market makes fixed front-desk staffing wrong in both directions across the year.,AI Receptionist / elastic coverage + closed-day capture,4.9 / 338 reviews; closed Sunday; Delray Beach FL,7,"Seasonality of the South Florida market is a public characteristic. Distinct angle from lead 67, same town."
90,A,9/9/2026,5,PT,Skin Works Medical Spa | Torrance,Redondo Beach,CA,support@skinworksmed.com,(844) 759-6757,https://skinworksmed.com/,4.8,336,,,,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,the 844,"Hey {{ firstname | there }},

An 844 number covering Torrance and Redondo means calls land somewhere central before they land with a person. That's the right call at your size — it just also means the caller's first experience is a queue, and aesthetics inquiries don't hold well.

I work on intake for aesthetics practices; most recently a multi-location derm and laser group.

I'd sit in front of that line: answer on the first ring, work out what they want and which site suits, book it as pending into your existing system. Live in 30 days, and I guarantee 20 booked appointments in the first 60 or I work unpaid until you have them.

15 minutes Thursday 11am or Friday 9am PT? {{ Sender Phone }}.

Vedant",128,the toll-free line,"Hey {{ firstname | there }}, quick check-in. First-ring answering in front of the 844 — that's the whole change. Thursday?

Vedant",Live in 30 days; 20 booked appointments in 60 days or work continues unpaid.,Centralised line / hold-abandonment capture,"A toll-free central line implies queueing, and high-consideration aesthetics callers abandon queues.",AI Receptionist in front of existing central line + routing,4.8 / 336 reviews; 844 toll-free number; Torrance/Redondo Beach CA,7,"Hours not in workbook — no closure claimed. Queue behaviour is framed as a characteristic of centralised lines, not measured."
91,A,9/9/2026,1,PT,Bella Glo Medical Aesthetics & Wellness,Carlsbad,CA,hello@bellagloaesthetics.com,(760) 453-7523,https://www.bellagloaesthetics.com/,5,333,,,,Sunday,Vedant,+1-XXX-XXX-XXXX,"carlsbad, the chain","Hey {{ firstname | there }},

5.0 across 333 in the same town as a 40-location chain. You win on trust every single time someone actually compares — the trouble is a chain can afford to answer at 8pm on a Sunday and an independent generally can't.

I work on intake for independent aesthetics practices; most recently a multi-location derm and laser group.

I'd give you the coverage without the headcount: Sundays and after-hours answered, qualified, booked as pending for you to confirm. 30 days at my cost. If it hasn't put 10 booked consults on your calendar, you owe me nothing.

I take two of these on at a time. 15 minutes Thursday 10am or Friday 1pm PT? {{ Sender Phone }}.

Vedant",124,carlsbad,"Hey {{ firstname | there }}, one nudge. Chain-level coverage without chain-level payroll. Free month. Thursday or Friday?

Vedant",Free 30-day pilot; 10 booked consults or no payment.,Independent-vs-chain coverage parity,An independent's rating advantage is neutralised by a chain's ability to staff hours it can't.,AI Receptionist / closed-day + after-hours capture,5.0 / 333 reviews; closed Sunday; Carlsbad CA — same market as a 40-location competitor in this list,7,"Competitor reference is generic ('a 40-location chain'), not named. Strong, genuinely lead-specific angle."
92,A,9/9/2026,2,CT,Zero Age MedSpa Katy,Katy,TX,info@zeroagemedspa.com,(281) 769-9608,https://www.zeroagemedspa.com/,5,328,,,,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,after 8pm,"Hey {{ firstname | there }},

Katy is a family market, which shapes when people can actually deal with themselves — after dinner, after the kids are down, somewhere between 8 and 11pm. That's when the enquiry gets sent and it's nobody's fault that nobody's there.

I work the intake side for aesthetics practices; most recently a multi-location derm and laser group.

I'd cover those hours: answer immediately, work out what they're asking about, book into your calendar as pending for the morning. First 30 days free — 10 booked consults or you don't pay.

15 minutes Thursday 9:30am or Friday 1pm CT? Or {{ Sender Phone }}.

Vedant",109,evenings,"Hey {{ firstname | there }}, quick ping. The 8-to-11pm window is the specific gap. Free for a month. Thursday?

Vedant",Free 30-day pilot; 10 booked consults or no payment.,Evening / after-hours capture in a family market,"A suburban family catchment shifts inquiry timing to late evening, outside any staffed hours.",AI Receptionist / after-hours capture,5.0 / 328 reviews; Katy TX,7,Hours not in workbook — no closure claimed; framed around evening timing generally.
93,A,9/9/2026,3,PT,Aesthetics by Vivi,Roseville,CA,nursevivi@aestheticsbyvivi.com,(916) 633-1691,https://aestheticsbyvivi.com/,5,327,,,,Sunday,Vedant,+1-XXX-XXX-XXXX,injecting vs answering,"Hey {{ firstname | there }},

When the practice is you, every hour on the phone is an hour not injecting — and the phone doesn't ring when you're free, it rings when you're mid-treatment with someone who's paying for your attention.

I work on intake for solo and small aesthetics practices; most recently a multi-location derm and laser group.

I'd take the phone off you entirely: inquiries answered and qualified while you're in a room, booked into your calendar as pending so you approve them between patients. Nothing clinical gets answered — that comes to you. 30 days at my cost, 10 booked consults or no invoice.

15 minutes Thursday 10am or Friday 12pm PT? {{ Sender Phone }}.

Vedant",121,roseville,"Hey {{ firstname | there }}, one follow-up. Solo practices are the ones this helps most. Free month. Thursday works here.

Vedant",Free 30-day pilot; 10 booked consults or no payment.,Solo-practitioner opportunity cost of front-desk work,"For a solo injector, phone time is directly traded against billable treatment time.",AI Receptionist + clinical escalation to the practitioner,5.0 / 327 reviews; closed Sunday; solo nurse-injector model; Roseville CA,7,Solo-practitioner read is inferred from the contact address and micro segment — phrased conditionally. Clinical escalation explicit.
94,A,9/9/2026,4,PT,Idan Med Spa,San Francisco,CA,info@idanmedspa.com,(628) 222-7522,https://www.idanmedspa.com/,4.9,325,,,,HOURS NOT IN WORKBOOK - do not claim a closure,Vedant,+1-XXX-XXX-XXXX,sf front desk math,"Hey {{ firstname | there }},

San Francisco has the most expensive front desk in the country. Which means the hours you're not staffed aren't a scheduling oversight, they're a rational decision — and the inquiries that arrive in them are still real.

I work on intake for aesthetics practices; most recently a multi-location derm and laser group.

I'd cover exactly those hours rather than replace anyone: answer, qualify, book as pending into your existing calendar. Live in 14 days, and I guarantee 20 booked appointments in the first 60 or I keep working unpaid until you have them.

I take two of these on at a time. 15 minutes Thursday 2pm or Friday 9am PT? {{ Sender Phone }}.

Vedant",121,sf,"Hey {{ firstname | there }}, quick nudge. Covering the unstaffed hours only — no headcount change. Thursday or Friday?

Vedant",Live in 14 days; 20 booked appointments in 60 days or work continues unpaid.,Cost-of-coverage economics in a high-wage market,"High front-desk cost makes unstaffed hours a deliberate trade-off, which is exactly the gap to fill cheaply.",AI Receptionist / unstaffed-hours capture,4.9 / 325 reviews; San Francisco CA,7,"Hours not in workbook — no closure claimed; framed as unstaffed hours generally. Distinct from lead 71, same city."
